        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202604290000,   4.684,   5.808,   0.900,   0.224,   5.808,   0.900,   5.808,   1.000,   5.908
202604290006,   4.602,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290012,   4.517,   5.579,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290018,   4.427,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290024,   4.335,   5.379,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290030,   4.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290036,   4.141,   5.169,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290042,   4.040,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290048,   3.937,   4.988,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290054,   3.832,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290100,   3.725,   4.778,   1.000,   0.053,   4.778,   0.900,   4.678,   1.100,   4.878
202604290106,   3.617,   4.690,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290112,   3.506,   4.559,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290118,   3.395,   4.457,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290124,   3.282,   4.319,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290130,   3.169,   4.188,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290136,   3.054,   4.037,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290142,   2.938,   3.909,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290148,   2.822,   3.798,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290154,   2.705,   3.670,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290200,   2.588,   3.568,   1.000,  -0.020,   3.568,   1.000,   3.568,   1.100,   3.668
202604290206,   2.470,   3.450,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290212,   2.352,   3.348,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290218,   2.235,   3.230,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290224,   2.117,   3.129,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290230,   2.000,   3.017,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290236,   1.884,   2.899,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290242,   1.769,   2.787,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290248,   1.655,   2.699,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290254,   1.543,   2.597,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290300,   1.432,   2.469,   1.000,   0.037,   2.469,   1.000,   2.469,   1.100,   2.569
202604290306,   1.324,   2.387,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290312,   1.219,   2.289,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290318,   1.117,   2.210,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290324,   1.018,   2.118,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290330,   0.923,   2.040,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290336,   0.832,   1.967,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290342,   0.746,   1.879,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290348,   0.666,   1.810,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290354,   0.590,   1.767,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290400,   0.521,   1.708,   1.100,   0.087,   1.708,   1.000,   1.608,   1.100,   1.708
202604290406,   0.457,   1.610,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290412,   0.400,   1.548,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290418,   0.350,   1.508,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290424,   0.307,   1.459,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290430,   0.272,   1.390,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290436,   0.243,   1.338,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290442,   0.223,   1.289,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290448,   0.209,   1.269,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290454,   0.204,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290500,   0.206,   1.220,   1.100,  -0.086,   1.220,   1.000,   1.120,   1.100,   1.220
202604290506,   0.216,   1.229,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290512,   0.233,   1.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290518,   0.258,   1.259,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290524,   0.290,   1.279,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290530,   0.329,   1.328,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290536,   0.374,   1.410,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290542,   0.426,   1.420,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290548,   0.484,   1.518,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290554,   0.547,   1.620,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290600,   0.616,   1.689,   0.900,   0.173,   1.689,   0.900,   1.689,   1.000,   1.789
202604290606,   0.691,   1.748,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290612,   0.769,   1.830,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290618,   0.852,   1.908,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290624,   0.939,   1.990,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290630,   1.029,   2.059,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290636,   1.122,   2.138,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290642,   1.218,   2.230,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290648,   1.317,   2.299,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290654,   1.417,   2.377,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290700,   1.519,   2.489,   0.900,   0.070,   2.489,   0.900,   2.489,   1.000,   2.589
202604290706,   1.623,   2.578,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290712,   1.728,   2.689,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290718,   1.834,   2.797,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290724,   1.941,   2.929,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290730,   2.048,   3.040,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290736,   2.155,   3.168,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290742,   2.263,   3.260,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290748,   2.371,   3.388,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290754,   2.479,   3.529,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290800,   2.586,   3.650,   0.900,   0.164,   3.650,   0.900,   3.650,   1.000,   3.750
202604290806,   2.693,   3.758,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290812,   2.799,   3.899,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290818,   2.905,   4.017,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290824,   3.010,   4.129,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290830,   3.113,   4.237,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290836,   3.216,   4.349,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290842,   3.317,   4.437,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290848,   3.417,   4.519,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290854,   3.515,   4.598,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290900,   3.610,   4.677,   0.900,   0.167,   4.677,   0.900,   4.677,   1.000,   4.777
202604290906,   3.704,   4.759,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290912,   3.795,   4.847,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290918,   3.883,   4.929,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290924,   3.968,   5.028,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290930,   4.050,   5.097,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290936,   4.128,   5.149,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290942,   4.202,   5.257,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290948,   4.272,   5.307,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290954,   4.338,   5.408,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604291000,   4.398,   5.438,   0.900,   0.140,   5.438,   0.900,   5.438,   1.000,   5.538
202604291006,   4.453,   5.497,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604291012,   4.503,   5.598,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604291018,   4.547,   5.589,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604291024,   4.586,   5.657,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604291030,   4.618,   5.677,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604291036,   4.644,   5.717,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604291042,   4.663,   5.730,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604291048,   4.676,   5.730,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604291054,   4.683,   5.730,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604291100,   4.683,   5.717,   1.000,   0.034,   5.717,   0.900,   5.617,   1.000,   5.717
202604291106,   4.676,   5.717,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604291112,   4.663,   5.697,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604291118,   4.643,   5.697,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
